Starting_Frame,Ending_Frame,Motion_Percentage
0,163,89.8378
163,508,94.4341
508,668,94.3197
668,1271,86.6579
1271,1507,nan
1507,1616,91.4006
1616,2116,94.3315
2116,2278,77.4676
2278,2413,83.3816
2413,2638,78.4495
2638,2751,95.6845
2751,2974,93.2943
2974,3116,99.7846
3116,3280,95.6255
3280,3528,59.905
3528,3991,94.0821
3991,4440,97.9444
4440,4536,93.5076
4536,4773,93.9024
4773,4942,99.1581
4942,5183,95.5424
5183,5331,95.1564
5331,5453,92.5601
5453,5679,99.1048
5679,5811,95.7716
5811,5910,90.3198
5910,6117,87.4014
6117,6240,99.1478
6240,6395,99.8555
6395,6782,86.8265
6782,7074,99.1523
7074,7501,89.7111
7501,7581,96.3936
7581,7970,94.6818
7970,8176,92.274
8176,8367,96.416
8367,8563,85.6987
8563,8671,93.8963
8671,8792,96.5859
8792,10495,80.8989
10495,10868,95.936
10868,11060,94.9628
11060,11308,94.3192
11308,11908,73.3292
11908,12375,91.7807
12375,13526,95.1027
13526,13720,82.7911
13720,14183,85.7191
14183,14362,96.4017
14362,14947,94.857
14947,15197,98.8828
15197,15318,97.1671
15318,15765,80.547
15765,15920,94.3288
15920,16028,99.2801
